OBJECTID_1,OBJECTID,Direction,RouteNum,RouteName,Orientatio,Miles_,BaseFreq1,PeakFreq1,NightFreq1,BaseFreq6,NightFreq6,BaseFreq7,NightFreq7,Span1,Span6,Span7,RunPick,OperationD,Descriptio,LocalServi,Shape__Length
3,3,Eastbound,47,Tireman,East - West,11.8457374536349,50,50,0,0,0,0,0,5:10a to 8:04p,No Service,No Service,April 2022,Monday - Friday,Westside route serving Tireman and MLK Blvd,1,25775.0269997689
4,4,Westbound,47,Tireman,East - West,11.67301280045,50,50,0,0,0,0,0,5:10a to 8:04p,No Service,No Service,April 2022,Monday - Friday,Westside route serving Tireman and MLK Blvd,1,25398.4247130704
5,5,Westbound,1,Vernor,East - West,8.54084818248305,60,30,60,30,60,60,60,4:00a - 1:00a,4:00a - 12:50a,4:00a - 12:40a,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit & Dearborn between downtown and Schaefer & Michigan. The main streets served are Lafayette, Trumbull, Bagley, Vernor, Wyoming & Michigan.",1,18586.0694810483
6,6,Eastbound,1,Vernor,East - West,8.56984979411039,60,30,60,30,60,60,60,4:00a - 1:00a,4:00a - 12:50a,4:00a - 12:40a,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit & Dearborn between downtown and Schaefer & Michigan. The main streets served are Lafayette, Trumbull, Bagley, Vernor, Wyoming & Michigan.",1,18649.1874871292
7,7,Westbound,2,Michigan,East - West,10.5971859464807,30,30,60,60,60,60,60,4:00a - 12:20a,4:00a - 12:20a,4:20a - 12:50a,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from Downtown Rosa Parks Transit Center to Fairlane Mall. The main street used is Michigan.,1,23043.0782028931
8,8,Eastbound,2,Michigan,East - West,10.5341798448218,30,30,60,60,60,60,60,4:00a - 12:20a,4:00a - 12:20a,4:20a - 12:50a,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from Downtown Rosa Parks Transit Center to Fairlane Mall. The main street used is Michigan.,1,22906.5198775022
9,9,Southbound,3,Grand River,East - West,14.6322469785296,20,20,30,30,30,45,45,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from downtown to 7 Mile & Grand River. The main street served is Grand River.,1,31857.8948508283
10,10,Northbound,3,Grand River,East - West,14.8796851102532,20,20,30,30,30,45,45,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from downtown to 7 Mile & Grand River. The main street served is Grand River.,1,32397.1884453701
11,11,Southbound,4,Woodward,North - South,8.84764000848704,20,20,30,20,30,20,30,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit and Highland Park between State Fairgrounds Transit Center and Renaissance Center in Downtown Detroit. The main streets served are Woodward, Park, Washington Blvd and Larned.",1,19303.7095097184
12,12,Northbound,4,Woodward,North - South,8.83627320518211,20,20,30,20,30,20,30,24hr,24hr,24hr,April 2022,Monday - Sunday,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit and Highland Park between State Fairgrounds Transit Center and Renaissance Center in Downtown Detroit. The main streets served are Woodward, Park, Washington Blvd and Larned.",1,19279.0518543178
13,13,Southbound,5,Van Dyke-Lafayette,North - South,11.4307622448962,60,30,60,30,60,60,60,24hr,24hr,24hr,April 2022,Monday - Sunday,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit form Bel Air Center to Downtown Rosa Parks Transit Center. The main streets served are Van Dyke and E Lafayette.,1,24927.0627310833
