X,Y,OBJECTID,FIRE_INVESTIGATION_ID,FIRE_INCIDENT_NUMBER,ADDRESS,FIRE_INCIDENT_DATE,INVESTIGATION_DATE,CASE_TYPE,OBJECT_BURNED,DETERMINATION,HAS_INJURIES,HAS_FATALITIES,HAS_EXPOSURES,STATUS_LAST_UPDATED_DATE,COUNCIL_DISTRICT,NEIGHBORHOOD,CITY,ZIP_CODE,STREET_NUMBER,STREET_PREFIX,STREET_NAME,STREET_TYPE,PARCEL_ID,ADDRESS_ID,LONGITUDE,LATITUDE
-83.2070744403706,42.4286154568574,1,7f2fc9fe-5cf1-4a73-8f17-3f642620bcc1,21-0048167,18900 Saint Marys Street,2021/11/24,2021/11/25,Investigation,Occupied Dwelling,Incendiary,,,False,2021/11/25,,,Detroit,48235,,,,,22058746.,,-83.2070744403706,42.4286154568574
,,2,8220bdc9-b129-4389-a388-a1ffb396d3fa,21-0048098,Clarita Ave & Braile St,2021/11/24,,Investigation,Vehicle,,,,False,2021/11/25,,,Detroit,48219,,,,,,,,
,,3,4154ff33-9510-49a3-a709-abbce3203fb8,21-0048074,2943 Seven Mile East,2021/11/24,2021/11/30,Investigation,Occupied Commercial,Assessment,,,False,2021/11/24,,,Detroit,48234,,,,,,,,
-83.145873418299,42.4150311072335,4,f89b585d-7c5a-4bf0-89b0-bf860f0a96fc,21-0048101,16820 San Juan Drive,2021/11/24,2021/11/27,Investigation,Occupied Dwelling,Accidental,,,False,2021/11/29,,,Detroit,48221,,,,,16025538.,,-83.145873418299,42.4150311072335
-83.1634855551814,42.3841089469402,5,7a663f20-dd1e-4c93-831c-d4910d2a50c9,21-0047946,13135 Birwood Street,2021/11/23,2021/12/03,Investigation,Vacant Dwelling,Undetermined,,,False,2021/11/23,,,Detroit,48238,,,,,16042689.,,-83.1634855551814,42.3841089469402
-83.0817012189321,42.4250712422009,6,7bb5173b-94aa-44da-a9b0-313e3b245eec,21-0047933,17923 Saint Aubin Street,2021/11/23,2021/11/24,Investigation,Occupied Dwelling,Accidental,,,False,2021/11/25,,,Detroit,48212,,,,,09016060.,,-83.0817012189321,42.4250712422009
-83.1879638849276,42.3708953497987,7,9a17d9a7-1066-4a64-b129-56274350fe3c,21-0047942,11327 Hubbell Avenue,2021/11/23,2021/12/03,Investigation,Occupied Dwelling,Assessment,,,False,2021/11/23,,,Detroit,48227,,,,,22040206.,,-83.1879638849276,42.3708953497987
-83.0313150138762,42.3702084191006,8,da7c6c3a-6863-4732-a995-05a4e209c86f,21-0047931,3551 Theodore Street,2021/11/23,,Investigation,Vehicle,,,,False,2021/11/23,,,Detroit,48211,,,,,13002888.,,-83.0313150138762,42.3702084191006
-82.9511896668065,42.3994814107502,9,35fe0487-2f76-4440-b478-a77007bbffc7,21-0047925,5075 Barham Street,2021/11/22,2021/11/24,Investigation,Occupied Dwelling,Assessment,,,False,2021/11/23,,,Detroit,48224,,,,,21065466.,,-82.9511896668065,42.3994814107502
-83.0936208555483,42.3899807554878,10,571368de-252b-4b93-86a1-1f71e01c754a,21-0047810,750 Burlingame Street,2021/11/22,2021/11/22,Investigation,Occupied Dwelling,Incendiary,,,False,2021/11/22,,,Detroit,48202,,,,,04003070.,,-83.0936208555483,42.3899807554878
-83.171369083022,42.3925652069684,11,a6d1e602-cbda-46be-b706-cabc429fa2a8,21-0047915,14271 Steel Street,2021/11/22,,Investigation,Vehicle,,,,False,2021/11/23,,,Detroit,48227,,,,,22022962.,,-83.171369083022,42.3925652069684
