X,Y,incident_id,incident_location,call_source,call_description,category,priority,call_group,call_code,called_at,intake_time,dispatch_time,travel_time,on_scene_time,total_response_time,total_time,zip_code,precinct,scout_car_area,neighborhood_name,council_district,longitude,latitude,ESRI_OID
-82.94981448,42.39875439,2.02237E+11,Beaconsfield St & E Warren Ave,W911 ,PERSON WITH WEAPON,WEAPON  ,2,5PCT  ,345020,2023/01/01 04:59:53+00,1.1,45.5,7.1,4.2,78.6,82.8,48224,5,504,Morningside,4,-82.94981448,42.39875439,513645
-83.12845407,42.39660959,2.02237E+11,Ewald Cir & Kendall St,W911 ,SHOTS FIRED IP,SHOTS IP,1,10PCT ,342010,2023/01/01 04:59:22+00,0.5,37.2,1.5,7.8,39.5,47.3,48238,10,1003,Oakman Blvd Community,2,-83.12845407,42.39660959,513646
-83.2015134,42.35082683,2.02237E+11,Tireman St & Rutherford St,W911 ,ARSON I/P,ARSON   ,1,6PCT  ,834010,2023/01/01 04:59:18+00,1.4,16.4,5.9,56.6,180.1,236.7,48228,6,611,Warren Ave Community,7,-83.2015134,42.35082683,513647
-83.11190829,42.37821093,2.02237E+11,Linwood St & W Boston Blvd,W911 ,RECOVER AUTO,RECAUTO ,3,10PCT ,374030,2023/01/01 04:58:23+00,1.7,86.5,3.2,90.1,92.1,182.3,48206,10,1005,Dexter-Linwood,5,-83.11190829,42.37821093,513648
-83.04389258,42.33684681,2.02237E+11,Beaubien St & Gratiot Ave,W911 ,DV A/B I/P-J/H,DV A/B  ,1,3PCT  ,397010,2023/01/01 04:58:15+00,1.7,3.9,0.5,6.7,20.1,26.7,48226,3,312,Downtown,5,-83.04389258,42.33684681,513649
-83.20759715,42.43747128,2.02237E+11,Pembroke Ave & Saint Marys St,W911 ,SHOTS FIRED IP,SHOTS IP,1,8PCT  ,342010,2023/01/01 04:57:35+00,0.9,88.1,1.3,1.7,90.4,92.1,48235,8,804,Greenfield,2,-83.20759715,42.43747128,513650
-83.14148125,42.38114378,2.02237E+11,Fullerton St & Santa Rosa Dr,W911 ,INVESTIGATE PERSON,INVPERS ,3,10PCT ,843030,2023/01/01 04:57:31+00,0.8,80,0.9,9.9,81.7,91.6,48238,10,1002,Oakman Blvd Community,7,-83.14148125,42.38114378,513651
-83.11737537,42.38613138,2.02237E+11,Richton St & Linwood St,PHONE,DISTURBANCE,DISTURB ,3,10PCT ,825030,2023/01/01 04:56:47+00,1,79.1,4,5.5,85.1,90.6,48206,10,1005,Dexter-Linwood,5,-83.11737537,42.38613138,513652
-82.91361155,42.41843008,2.02237E+11,Moross Rd & Northdeuft Blvd,E911 ,SHOOTING/CUTTING/PENT WND RPT,GSWRPT  ,2,5PCT  ,341020,2023/01/01 04:56:41+00,1.4,5.7,0,207.9,8.8,216.7,48236,5,505,Cornerstone Village,4,-82.91361154,42.41843008,513653
-83.12758876,42.31716182,2.02237E+11,Dix St & Central St,W911 ,SHOTS FIRED IP,SHOTS IP,1,4PCT  ,342010,2023/01/01 04:54:54+00,0.6,48.8,1.9,2.5,51.7,54.2,48209,4,407,Springwells,6,-83.12758876,42.31716182,513654
-82.92994975,42.40006722,2.02237E+11,Waveney St & Bishop St,W911 ,SHOTS FIRED IP,SHOTS IP,1,5PCT  ,342010,2023/01/01 04:54:38+00,1,236.8,2.8,12.9,240.7,253.6,48224,5,507,East English Village,4,-82.92994975,42.40006722,513655
-83.24140935,42.39573764,2.02237E+11,Stout St & Eaton St,W911 ,SHOTS FIRED IP,SHOTS IP,1,6PCT  ,342010,2023/01/01 04:53:01+00,1,106.5,0,1.2,115.5,116.7,48223,6,602,Brightmoor,1,-83.24140935,42.39573764,513656
