stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,ObjectId
11206,CROOKS @ CORPORATE, ,42.596711,-83.169073, , ,1
11340,HARPER @ HARVARD SHORE, ,42.544576,-82.87857, , ,2
11486,13 MILE RD @ KENDALL, ,42.524145,-82.950508, , ,3
11533,12 MILE RD @ SMYTH, ,42.502058,-83.233033, , ,4
11635,13 MILE RD @ XKENDALL, ,42.523985,-82.95027, , ,5
11658,10 MILE RD @ LOIS LANE, ,42.472415,-83.257193, , ,6
11695,TELEGRAPH @ BURGER KING, ,42.462488,-83.278365, , ,7
11724,HARPER @ FRANCIS, ,42.519693,-82.898628, , ,8
11850,SCHOENHERR @ MOCERI, ,42.52478,-82.988416, , ,9
11881,MICHIGAN @ SIMS, ,42.281648,-83.375671, , ,10
12028,13 MILE RD @ CHURCHILL, ,42.516888,-83.232985, , ,11
12057,13 MILE RD @ BRISTOL LANE, ,42.5158,-83.27331, , ,12
12148,TELEGRAPH @ 14 MILE RD, ,42.530771,-83.284833, , ,13
12226,GRATIOT @ COTTON, ,42.669698,-82.837306, , ,14
12282,MAIN ST @ E TACOMA BLVD, ,42.531495,-83.145995, , ,15
12289,MAIN ST @ KNOLLWOOD BLVD, ,42.542303,-83.146821, , ,16
12350,GRATIOT @ STAFFORD, ,42.54158,-82.908133, , ,17
12374,HARPER @ DEANHURST, ,42.545323,-82.87795, , ,18
12386,HARPER @ MEADOW BRIDGE, ,42.564436,-82.870828, , ,19
12405,15 MILE RD @ FORTON, ,42.555146,-82.881986, , ,20
12512,MICHIGAN @ BRADY, ,42.307295,-83.239343, , ,21
12531,MICHIGAN @ REUTER, ,42.323395,-83.171966, , ,22
12593,CHERRY HILL @ MILDRED, ,42.312786,-83.26708, , ,23
12609,TELEGRAPH @ NEW YORK, ,42.287848,-83.271371, , ,24
12829,TELEGRAPH @ POWERS, ,42.273391,-83.270146, , ,25
12940,SCHOENHERR @ LINNHURST, ,42.430898,-82.98492, , ,26
12958,MOROSS @ HARPER, ,42.424025,-82.928048, , ,27
13249,HARPER & COURVILLE, ,42.410791,-82.94469, , ,28
13252,HARPER & SOMERSET, ,42.4077,-82.953846, , ,29
13952,WOODWARD @ WELLESLEY, ,42.434808,-83.117368, , ,30
14025,GRATIOT @ BEAUFAIT, ,42.367193,-83.022621, , ,31
14077,GRATIOT @ MANNING, ,42.440991,-82.973603, , ,32
14150,MICHIGAN @ CHOPIN, ,42.3312,-83.133851, , ,33
14168,MICHIGAN @ 23RD, ,42.331565,-83.091015, , ,34
14366,VAN DYKE @ NETT, ,42.398251,-83.022971, , ,35
17889,MICHIGAN @ GRISWOLD NS, ,42.331621,-83.049546, , ,36
17981,JEFFERSON @ FIELD, ,42.347721,-83.000813, , ,37
17999,JEFFERSON @ McCLELLAN, ,42.35873,-82.984871, , ,38
18021,JEFFERSON @ EASTLAWN, ,42.371596,-82.947123, , ,39
18371,9 MILE RD @ GASCONY, ,42.46504,-82.938825, , ,40
18443,KELLY @ NORTON, ,42.467678,-82.926825, , ,41
18608,ORCHARD LAKE @ REXWOOD, ,42.527283,-83.360031, , ,42
18638,9 MILE RD @ MIDDLEBELT, ,42.456218,-83.33789, , ,43
18642,GRAND RIVER @ WALDRON, ,42.444441,-83.327765, , ,44
18744,14 MILE RD @ FRASER, ,42.539156,-82.942593, , ,45
18795,FORD RD @ CRAIG, ,42.324976,-83.356535, , ,46
18796,FORD RD @ MOELLER NS, ,42.325016,-83.353673, , ,47
18812,FORD RD @ HARRISON, ,42.325923,-83.322631, , ,48
18853,MIDDLEBELT @ HENNEPIN, ,42.320001,-83.330833, , ,49
18955,CHARLEVOIX @ X FROM AUDUBON, ,42.390303,-82.929908, , ,50
18997,MACK @ HAMPTON, ,42.447635,-82.906146, , ,51
19195,E JEFFERSON @ ORCHID, ,42.547795,-82.855283, , ,52
19232,JOHN R @ MOOREHOUSE, ,42.469865,-83.104398, , ,53
19469,FORT ST @ CHAMPAIGN, ,42.244693,-83.180358, , ,54
19887,9 MILE RD @ CHURCH, ,42.459636,-83.19193, , ,55
19980,BEECH DALY @ PEMBROKE, ,42.435936,-83.297248, , ,56
20026,GRAND RIVER @ GAYLORD, ,42.437606,-83.309486, , ,57
20244,8 MILE @ KROGERS, ,42.446118,-83.160141, , ,58
20275,CAMPBELL @ UNIVERSITY, ,42.49222,-83.124585, , ,59
20309,MAIN ST @ WOODSIDE, ,42.526933,-83.145803, , ,60
20314,MAIN ST @ ELLEN, ,42.514361,-83.145358, , ,61
20468,9 MILE RD @ TWINING, ,42.458523,-83.234241, , ,62
20635,CIVIC CENTER @ TELEGRAPH, ,42.47913,-83.282735, , ,63
20661,EUREKA RD @ JAMES, ,42.19945,-83.187765, , ,64
20667,EUREKA RD @ TOLEDO NE, ,42.199123,-83.208143, , ,65
12884,WOODWARD @ PUTMAN, ,42.357722,-83.065005, , ,66
20691,TRENTON @ LEROY, ,42.191845,-83.193201, , ,67
20786,MASONIC @ HEATHWOOD/TIMBERRIDGE, ,42.532338,-82.895433, , ,68
20820,GREATER MACK @ DOWNING, ,42.472256,-82.895146, , ,69
20880,E JEFFERSON @ LAKELAND, ,42.482993,-82.889281, , ,70
20920,E JEFFERSON @  MASONIC, ,42.52741,-82.873578, , ,71
21091,15 MILE RD @ BEATTIE, ,42.550966,-83.040503, , ,72
21108,EUREKA RD @ TELEGRAPH RD, ,42.19751,-83.267111, , ,73
21203,PARDEE @ NORTHLINE SW, ,42.211958,-83.254078, , ,74
21323,DEQUINDRE @ ELLIOTT, ,42.538966,-83.087311, , ,75
21352,CHICAGO RD & X FROM METEOR PHOTO, ,42.545228,-83.113585, , ,76
323,FORD & INKSTER, ,42.326296,-83.31249, , ,77
406,TELEGRAPH & PLYMOUTH SE, ,42.370443,-83.275376, , ,78
584, NORTHWESTERN & 14 MILE RD, ,42.527886,-83.356995, , ,79
720,CROOKS & BIG BEAVER, ,42.562673,-83.167166, , ,80
819,8 MILE RD & JOHN R, ,42.446936,-83.102475, , ,81
822,JOHN R & 8 MILE RD NE, ,42.44762,-83.102793, , ,82
856,VAN DYKE & 9 MILE RD., ,42.462616,-83.026738, , ,83
904,SCHOENHERR & 14 MILE RD SE, ,42.536565,-82.988718, , ,84
961,GRATIOT & 15 MILE RD., ,42.554288,-82.900153, , ,85
1088,10 MILE RD. & COOLIDGE SE, ,42.474155,-83.181598, , ,86
1137,10 MILE RD. & SOUTHFIELD, ,42.47333,-83.219888, , ,87
1178,12 MILE RD  & MIDDLEBELT SE, ,42.499611,-83.338636, , ,88
1254,14 MILE RD. & STEPHENSON, ,42.533848,-83.121565, , ,89
1258,13 MILE RD. & HOOVER, ,42.52137,-83.006741, , ,90
1696,JOHN R & 11 MILE RD., ,42.490345,-83.10532, , ,91
9703,HARPER & VERNIER, ,42.446033,-82.916641, , ,92
10168,WEST @ ROSEWOOD, ,42.141228,-83.19325, , ,93
10433,WOODWARD & OAKRIDGE AVE SW, ,42.493236,-83.162651, , ,94
10463,WEST RD @ WESTFIELD, ,42.141053,-83.204486, , ,95
10703,W. MAPLE RD @ CLIFTON, ,42.545736,-83.25384, , ,96
10705,W. MAPLE RD @ GILBERT LAKE R, ,42.545125,-83.27784, , ,97
10986,KENNETT @ OAKLAND (DIXIE, ,42.665463,-83.326748, , ,98
11028,PERRY & IVY, ,42.653501,-83.280541, , ,99
11038,PERRY & PADDOCK, ,42.649686,-83.284993, , ,100
11059,HURON @ WOODWARD, ,42.637988,-83.297628, , ,101
10400,SUMMIT DR @ OFFICE MAX, ,42.645268,-83.33355, , ,102
632,WOODWARD & CLAIRMOUNT, ,42.382373,-83.08159, , ,103
12208,10 MILE RD @ FEDERAL, ,42.477461,-83.021255, , ,104
211,WESTLAND CENTER, ,42.341921,-83.387941, , ,105
17958,CASS @ LEDYARD, ,42.340323,-83.057636, , ,106
242,MICHIGAN & HENRY RUFF, ,42.286981,-83.34002, , ,107
316,FORD & OUTER DRIVE, ,42.326796,-83.260721, , ,108
374,EUREKA & FORT ST NS, ,42.199377,-83.181454, , ,109
403, OUTER DRIVE &  MICHIGAN, ,42.302676,-83.263233, , ,110
653,GREENFIELD & 9 MILE, ,42.459953,-83.200941, , ,111
861,JOHN R & CANFIELD, ,42.353921,-83.05948, , ,112
1056,JEFFERSON &  X FROM JOS CAMPAU, ,42.339393,-83.020236, , ,113
1106,9 MILE RD & MACK NE, ,42.466702,-82.895583, , ,114
1172,12 MILE RD. & HALSTEAD, ,42.497855,-83.417791, , ,115
1253,14 MILE RD. & CHURCH, ,42.533441,-83.144835, , ,116
9220,HURON & PERRY, ,42.639213,-83.29097, , ,117
